nitrogen_conc,insect_abundance
4.08,8
3.85,5
2.21,5
3.47,4
1.2,2
1.17,2
4.28,5
1.04,2
1.41,4
3.43,7
4.08,9
3.64,9
1.87,4
1.78,2
3.78,4
3.54,11
1.27,1
3.8,6
2.5,6
2.88,8
2.62,4
3.33,6
4.79,19
1.68,1
1.53,3
1.04,3
3.37,3
4.79,12
3.5,5
2.82,7
3.58,4
1.04,3
4.24,9
1.68,5
1.15,2
1.34,2
2.49,3
2.79,3
1.05,0
4.13,17
3.45,9
2.03,5
4.33,11
3.68,7
4.23,9
2.98,8
4.66,13
4.72,6
1.84,4
1.8,2
2.22,7
1.35,2
1.14,0
2.39,3
3.06,10
2.49,3
4.98,12
4.66,13
1.21,1
1.2,2
1.7,5
1.86,2
3.94,3
2.23,4
4.11,11
4.93,16
2.22,2
1.34,4
4.37,9
3.38,1
2.4,8
1.54,4
2.27,4
1.62,1
3.4,7
4.98,24
1.49,3
3.06,5
2.32,5
4.04,7
1.17,8
4.68,10
4.83,10
2.01,3
3.15,7
1.63,4
3.12,6
3.41,5
3.96,5
2.28,6
3.33,3
3.91,9
4.22,8
1.8,5
3.22,11
4.28,9
2.64,2
4.7,13
2.5,4
4.67,19
2.92,6
4.17,10
2.63,3
4.34,8
2.47,5
3.57,6
1.9,6
3.29,9
1.78,3
1.21,2
2.2,4
4.89,17
1.86,4
3.19,6
4.32,10
4.85,7
3.05,5
2.48,1
4.18,7
1.23,3
1.63,2
4.94,18
1.89,5
1.29,2
3.69,11
4.53,7
4.84,11
4.6,12
1.88,1
1.78,2
1.47,3
1.64,5
2.51,6
2.61,2
2.39,4
2.21,3
3.85,11
2.76,5
2.61,3
2.39,4
3.96,14
1.86,2
3.89,4
3.72,7
2.55,4
3.74,9
4.64,10
2.55,3
4.96,12
1.93,3
3.22,6
1.02,0
1.81,3
2.52,6
2.8,5
2.37,3
3.74,6
4.42,7
2.71,5
3.55,5
1.57,2
3.37,4
2.89,6
2.74,5
4.6,12
3.41,7
2.76,2
2.63,4
2.16,8
2.68,4
2.04,2
3.18,7
2.61,2
4.6,10
2.99,12
3.36,8
2.42,1
2.59,4
4.51,15
1.83,1
4,6
3.68,5
2.01,8
3.19,6
1.83,2
2.33,4
2.52,5
2.19,3
2.61,0
3.21,6
2.95,3
4.5,11
3.04,8
3.15,5
1.9,1
3.8,11
2.07,3
3.46,9
2.06,2
1.76,2
1.8,3
3.56,5
4.22,9
4.74,24
1.99,2
4.37,6
2.98,2
3.99,11
1.32,0
1.37,1
4.67,16
3.5,4
3.79,5
1.69,0
3.71,7
3.52,4
3.83,5
2.75,5
1.02,1
1.83,3
1.6,2
4.06,9
2.78,4
1.08,4
2.24,7
3.67,7
1.85,3
3.54,3
4.56,13
2.51,1
1.75,4
2.99,9
2.94,5
3.66,16
2.45,2
4.46,10
1.08,3
2.7,5
1.6,4
1.32,2
3.89,7
